trialNo,tablerow,soundrow,correct_answer,rt,status,trialaccuracy,totalaccuracy,participant,test,group,test_speaker,word1,word2,test_type,testpairs,correct_word,stream_type,training,beeptotalaccuracy,ppID,training_speaker,train_test_speaker_match,lateralization
25,29,29,1,444,1,1,8,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,hoshife,shifeni,seg_Attended,hoshife_shifeni,hoshife,single,AD_G1_LangA_female,12,12,F,Match,both
26,19,19,2,595,2,0,8,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,xonisu,bavolu,seg_Attended,xonisu_bavolu,bavolu,single,AD_G1_LangA_female,12,12,F,Mismatch,both
27,64,64,2,457,2,0,8,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,masihe,biwetu,seg_Unattended,masihe_biwetu,biwetu,single,AD_G1_LangA_female,12,12,F,Mismatch,both
28,37,37,1,244,2,0,8,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,fanujo,zafanu,seg_Unattended,fanujo_zafanu,fanujo,single,AD_G1_LangA_female,12,12,F,Match,both
29,59,59,2,432,1,1,9,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,wetuxi,pomasi,seg_Unattended,wetuxi_pomasi,pomasi,single,AD_G1_LangA_female,12,12,F,Mismatch,both
30,4,4,2,290,2,0,9,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,voluho,nisuda,seg_Attended,voluho_nisuda,nisuda,single,AD_G1_LangA_female,12,12,F,Mismatch,both
31,35,35,2,813,1,1,10,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,shifeni,kirewa,seg_Attended,shifeni_kirewa,kirewa,single,AD_G1_LangA_female,12,12,F,Mismatch,both
32,57,57,2,211,1,1,11,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,tuheri,pomasi,seg_Unattended,tuheri_pomasi,pomasi,single,AD_G1_LangA_female,12,12,F,Mismatch,both
33,24,24,1,196,1,1,12,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,bavolu,rewani,seg_Attended,bavolu_rewani,bavolu,single,AD_G1_LangA_female,12,12,F,Match,both
34,65,65,1,225,2,0,12,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,biwetu,wetuxi,seg_Unattended,biwetu_wetuxi,biwetu,single,AD_G1_LangA_female,12,12,F,Match,both
35,16,16,2,325,2,0,12,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,voluho,zutami,seg_Attended,voluho_zutami,zutami,single,AD_G1_LangA_female,12,12,F,Match,both
36,17,17,1,136,2,0,12,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,zutami,shifeni,seg_Attended,zutami_shifeni,zutami,single,AD_G1_LangA_female,12,12,F,Mismatch,both
37,41,41,1,182,2,0,12,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,fanujo,wetuxi,seg_Unattended,fanujo_wetuxi,fanujo,single,AD_G1_LangA_female,12,12,F,Match,both
38,72,72,1,216,1,1,13,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,xidule,dulepo,seg_Unattended,xidule_dulepo,xidule,single,AD_G1_LangA_female,12,12,F,Match,both
39,20,20,1,188,1,1,14,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,bavolu,mipeju,seg_Attended,bavolu_mipeju,bavolu,single,AD_G1_LangA_female,12,12,F,Match,both
40,5,5,1,484,1,1,15,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,nisuda,shifeni,seg_Attended,nisuda_shifeni,nisuda,single,AD_G1_LangA_female,12,12,F,Match,both
41,32,32,1,110,2,0,15,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,kirewa,mipeju,seg_Attended,kirewa_mipeju,kirewa,single,AD_G1_LangA_female,12,12,F,Match,both
42,26,26,2,249,1,1,16,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,mipeju,hoshife,seg_Attended,mipeju_hoshife,hoshife,single,AD_G1_LangA_female,12,12,F,Mismatch,both
43,70,70,1,364,1,1,17,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,xidule,masihe,seg_Unattended,xidule_masihe,xidule,single,AD_G1_LangA_female,12,12,F,Match,both
44,60,60,1,241,1,1,18,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,pomasi,dulepo,seg_Unattended,pomasi_dulepo,pomasi,single,AD_G1_LangA_female,12,12,F,Match,both
45,31,31,2,459,1,1,19,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,xonisu,kirewa,seg_Attended,xonisu_kirewa,kirewa,single,AD_G1_LangA_female,12,12,F,Mismatch,both
46,13,13,1,82,1,1,20,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,zutami,xonisu,seg_Attended,zutami_xonisu,zutami,single,AD_G1_LangA_female,12,12,F,Mismatch,both
47,46,46,1,200,2,0,20,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,vukoza,masihe,seg_Unattended,vukoza_masihe,vukoza,single,AD_G1_LangA_female,12,12,F,Mismatch,both
48,3,3,1,240,2,0,20,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,nisuda,luzuta,seg_Attended,nisuda_luzuta,nisuda,single,AD_G1_LangA_female,12,12,F,Match,both
49,39,39,1,507,2,0,20,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,fanujo,tuheri,seg_Unattended,fanujo_tuheri,fanujo,single,AD_G1_LangA_female,12,12,F,Match,both
50,14,14,2,312,2,0,20,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,mipeju,zutami,seg_Attended,mipeju_zutami,zutami,single,AD_G1_LangA_female,12,12,F,Match,both
51,71,71,2,572,1,1,21,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,wetuxi,xidule,seg_Unattended,wetuxi_xidule,xidule,single,AD_G1_LangA_female,12,12,F,Match,both
52,55,55,2,408,1,1,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,zafanu,pomasi,seg_Unattended,zafanu_pomasi,pomasi,single,AD_G1_LangA_female,12,12,F,Mismatch,both
53,51,51,1,239,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,herisha,tuheri,seg_Unattended,herisha_tuheri,herisha,single,AD_G1_LangA_female,12,12,F,Mismatch,both
54,53,53,1,515,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,herisha,wetuxi,seg_Unattended,herisha_wetuxi,herisha,single,AD_G1_LangA_female,12,12,F,Mismatch,both
55,33,33,2,290,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,luzuta,kirewa,seg_Attended,luzuta_kirewa,kirewa,single,AD_G1_LangA_female,12,12,F,Mismatch,both
56,7,7,2,267,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,xonisu,pejuxo,seg_Attended,xonisu_pejuxo,pejuxo,single,AD_G1_LangA_female,12,12,F,Match,both
57,44,44,1,259,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,vukoza,shavuko,seg_Unattended,vukoza_shavuko,vukoza,single,AD_G1_LangA_female,12,12,F,Mismatch,both
58,6,6,2,236,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,rewani,nisuda,seg_Attended,rewani_nisuda,nisuda,single,AD_G1_LangA_female,12,12,F,Mismatch,both
59,15,15,1,225,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,zutami,luzuta,seg_Attended,zutami_luzuta,zutami,single,AD_G1_LangA_female,12,12,F,Mismatch,both
60,18,18,2,258,2,0,22,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,rewani,zutami,seg_Attended,rewani_zutami,zutami,single,AD_G1_LangA_female,12,12,F,Match,both
61,25,25,1,556,1,1,23,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,hoshife,xonisu,seg_Attended,hoshife_xonisu,hoshife,single,AD_G1_LangA_female,12,12,F,Match,both
62,1,1,1,330,1,1,24,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,nisuda,xonisu,seg_Attended,nisuda_xonisu,nisuda,single,AD_G1_LangA_female,12,12,F,Match,both
63,11,11,2,528,1,1,25,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,shifeni,pejuxo,seg_Attended,shifeni_pejuxo,pejuxo,single,AD_G1_LangA_female,12,12,F,Match,both
64,62,62,2,299,1,1,26,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,shavuko,biwetu,seg_Unattended,shavuko_biwetu,biwetu,single,AD_G1_LangA_female,12,12,F,Mismatch,both
65,50,50,2,313,2,0,26,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,shavuko,herisha,seg_Unattended,shavuko_herisha,herisha,single,AD_G1_LangA_female,12,12,F,Match,both
66,8,8,1,650,2,0,26,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,pejuxo,mipeju,seg_Attended,pejuxo_mipeju,pejuxo,single,AD_G1_LangA_female,12,12,F,Mismatch,both
67,54,54,2,251,1,1,27,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,dulepo,herisha,seg_Unattended,dulepo_herisha,herisha,single,AD_G1_LangA_female,12,12,F,Match,both
68,30,30,2,463,2,0,27,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,rewani,hoshife,seg_Attended,rewani_hoshife,hoshife,single,AD_G1_LangA_female,12,12,F,Mismatch,both
69,36,36,1,721,1,1,28,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,kirewa,rewani,seg_Attended,kirewa_rewani,kirewa,single,AD_G1_LangA_female,12,12,F,Match,both
70,27,27,1,195,2,0,28,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,hoshife,luzuta,seg_Attended,hoshife_luzuta,hoshife,single,AD_G1_LangA_female,12,12,F,Match,both
71,49,49,1,261,2,0,28,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,herisha,zafanu,seg_Unattended,herisha_zafanu,herisha,single,AD_G1_LangA_female,12,12,F,Mismatch,both
72,34,34,1,276,1,1,29,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,kirewa,voluho,seg_Attended,kirewa_voluho,kirewa,single,AD_G1_LangA_female,12,12,F,Match,both
73,20,92,1,372,1,1,30,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,bavolu,vukoza,rec,bavolu_vukoza,bavolu,single,AD_G1_LangA_female,12,12,F,Match,both
74,31,103,2,318,1,1,31,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,fanujo,kirewa,rec,fanujo_kirewa,kirewa,single,AD_G1_LangA_female,12,12,F,Mismatch,both
75,5,77,1,422,1,1,32,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,nisuda,biwetu,rec,nisuda_biwetu,nisuda,single,AD_G1_LangA_female,12,12,F,Match,both
76,3,75,1,304,2,0,32,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,nisuda,herisha,rec,nisuda_herisha,nisuda,single,AD_G1_LangA_female,12,12,F,Match,both
77,33,105,2,465,1,1,33,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,herisha,kirewa,rec,herisha_kirewa,kirewa,single,AD_G1_LangA_female,12,12,F,Mismatch,both
78,8,80,1,283,1,1,34,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,pejuxo,vukoza,rec,pejuxo_vukoza,pejuxo,single,AD_G1_LangA_female,12,12,F,Mismatch,both
79,1,73,1,362,2,0,34,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,nisuda,fanujo,rec,nisuda_fanujo,nisuda,single,AD_G1_LangA_female,12,12,F,Match,both
80,35,107,2,275,2,0,34,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,biwetu,kirewa,rec,biwetu_kirewa,kirewa,single,AD_G1_LangA_female,12,12,F,Mismatch,both
81,29,101,1,1746,2,0,34,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,hoshife,biwetu,rec,hoshife_biwetu,hoshife,single,AD_G1_LangA_female,12,12,F,Match,both
82,28,100,2,393,2,0,34,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,pomasi,hoshife,rec,pomasi_hoshife,hoshife,single,AD_G1_LangA_female,12,12,F,Mismatch,both
83,30,102,2,423,1,1,35,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,xidule,hoshife,rec,xidule_hoshife,hoshife,single,AD_G1_LangA_female,12,12,F,Mismatch,both
84,27,99,1,297,1,1,36,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,hoshife,herisha,rec,hoshife_herisha,hoshife,single,AD_G1_LangA_female,12,12,F,Match,both
85,32,104,1,218,2,0,36,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,kirewa,vukoza,rec,kirewa_vukoza,kirewa,single,AD_G1_LangA_female,12,12,F,Match,both
86,22,94,1,296,1,1,37,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,bavolu,pomasi,rec,bavolu_pomasi,bavolu,single,AD_G1_LangA_female,12,12,F,Match,both
87,34,106,1,685,2,0,37,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,kirewa,pomasi,rec,kirewa_pomasi,kirewa,single,AD_G1_LangA_female,12,12,F,Match,both
88,18,90,2,196,2,0,37,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,xidule,zutami,rec,xidule_zutami,zutami,single,AD_G1_LangA_female,12,12,F,Match,both
89,16,88,2,552,1,1,38,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,pomasi,zutami,rec,pomasi_zutami,zutami,single,AD_G1_LangA_female,12,12,F,Match,both
90,23,95,2,510,2,0,38,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,biwetu,bavolu,rec,biwetu_bavolu,bavolu,single,AD_G1_LangA_female,12,12,F,Mismatch,both
91,9,81,2,831,2,0,38,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,herisha,pejuxo,rec,herisha_pejuxo,pejuxo,single,AD_G1_LangA_female,12,12,F,Match,both
92,11,83,2,315,1,1,39,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,biwetu,pejuxo,rec,biwetu_pejuxo,pejuxo,single,AD_G1_LangA_female,12,12,F,Match,both
93,2,74,2,234,2,0,39,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,vukoza,nisuda,rec,vukoza_nisuda,nisuda,single,AD_G1_LangA_female,12,12,F,Mismatch,both
94,6,78,2,323,2,0,39,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,xidule,nisuda,rec,xidule_nisuda,nisuda,single,AD_G1_LangA_female,12,12,F,Mismatch,both
95,21,93,2,220,1,1,40,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,herisha,bavolu,rec,herisha_bavolu,bavolu,single,AD_G1_LangA_female,12,12,F,Mismatch,both
96,4,76,2,293,2,0,40,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,pomasi,nisuda,rec,pomasi_nisuda,nisuda,single,AD_G1_LangA_female,12,12,F,Mismatch,both
97,10,82,1,220,2,0,40,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,pejuxo,pomasi,rec,pejuxo_pomasi,pejuxo,single,AD_G1_LangA_female,12,12,F,Mismatch,both
98,14,86,2,844,2,0,40,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,vukoza,zutami,rec,vukoza_zutami,zutami,single,AD_G1_LangA_female,12,12,F,Match,both
99,36,108,1,664,1,1,41,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,kirewa,xidule,rec,kirewa_xidule,kirewa,single,AD_G1_LangA_female,12,12,F,Match,both
100,25,97,1,515,1,1,42,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,hoshife,fanujo,rec,hoshife_fanujo,hoshife,single,AD_G1_LangA_female,12,12,F,Match,both
101,24,96,1,295,1,1,43,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,bavolu,xidule,rec,bavolu_xidule,bavolu,single,AD_G1_LangA_female,12,12,F,Match,both
102,12,84,1,233,2,0,43,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,pejuxo,xidule,rec,pejuxo_xidule,pejuxo,single,AD_G1_LangA_female,12,12,F,Mismatch,both
103,15,87,1,236,1,1,44,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,zutami,herisha,rec,zutami_herisha,zutami,single,AD_G1_LangA_female,12,12,F,Mismatch,both
104,7,79,2,331,1,1,45,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,F,fanujo,pejuxo,rec,fanujo_pejuxo,pejuxo,single,AD_G1_LangA_female,12,12,F,Match,both
105,17,89,1,318,2,0,45,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,zutami,biwetu,rec,zutami_biwetu,zutami,single,AD_G1_LangA_female,12,12,F,Mismatch,both
106,13,85,1,250,1,1,46,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,zutami,fanujo,rec,zutami_fanujo,zutami,single,AD_G1_LangA_female,12,12,F,Mismatch,both
107,26,98,2,405,1,1,47,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,vukoza,hoshife,rec,vukoza_hoshife,hoshife,single,AD_G1_LangA_female,12,12,F,Mismatch,both
108,19,91,2,186,2,0,47,bcb3e681-5c9f-4ed0-ac6b-463e7f3d440c,AD_Group1_test,1,M,fanujo,bavolu,rec,fanujo_bavolu,bavolu,single,AD_G1_LangA_female,12,12,F,Mismatch,both
1,49,49,1,3049,1,1,1,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,herisha,zafanu,seg_Unattended,herisha_zafanu,herisha,single,AD_G1_LangA_female,11,97,F,Mismatch,both
2,38,38,2,370,1,1,2,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,shavuko,fanujo,seg_Unattended,shavuko_fanujo,fanujo,single,AD_G1_LangA_female,11,97,F,Mismatch,both
3,25,25,1,447,1,1,3,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,hoshife,xonisu,seg_Attended,hoshife_xonisu,hoshife,single,AD_G1_LangA_female,11,97,F,Match,both
4,21,21,2,1732,1,1,4,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,luzuta,bavolu,seg_Attended,luzuta_bavolu,bavolu,single,AD_G1_LangA_female,11,97,F,Mismatch,both
5,32,32,1,3318,1,1,5,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,kirewa,mipeju,seg_Attended,kirewa_mipeju,kirewa,single,AD_G1_LangA_female,11,97,F,Match,both
6,40,40,2,235,1,1,6,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,masihe,fanujo,seg_Unattended,masihe_fanujo,fanujo,single,AD_G1_LangA_female,11,97,F,Mismatch,both
7,48,48,1,299,1,1,7,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,vukoza,dulepo,seg_Unattended,vukoza_dulepo,vukoza,single,AD_G1_LangA_female,11,97,F,Mismatch,both
8,12,12,1,254,1,1,8,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,pejuxo,rewani,seg_Attended,pejuxo_rewani,pejuxo,single,AD_G1_LangA_female,11,97,F,Mismatch,both
9,28,28,2,249,2,0,8,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,voluho,hoshife,seg_Attended,voluho_hoshife,hoshife,single,AD_G1_LangA_female,11,97,F,Mismatch,both
10,71,71,2,290,2,0,8,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,wetuxi,xidule,seg_Unattended,wetuxi_xidule,xidule,single,AD_G1_LangA_female,11,97,F,Match,both
11,60,60,1,241,2,0,8,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,pomasi,dulepo,seg_Unattended,pomasi_dulepo,pomasi,single,AD_G1_LangA_female,11,97,F,Match,both
12,19,19,2,222,2,0,8,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,xonisu,bavolu,seg_Attended,xonisu_bavolu,bavolu,single,AD_G1_LangA_female,11,97,F,Mismatch,both
13,30,30,2,282,2,0,8,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,rewani,hoshife,seg_Attended,rewani_hoshife,hoshife,single,AD_G1_LangA_female,11,97,F,Mismatch,both
14,46,46,1,547,1,1,9,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,vukoza,masihe,seg_Unattended,vukoza_masihe,vukoza,single,AD_G1_LangA_female,11,97,F,Mismatch,both
15,59,59,2,471,2,0,9,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,wetuxi,pomasi,seg_Unattended,wetuxi_pomasi,pomasi,single,AD_G1_LangA_female,11,97,F,Mismatch,both
16,36,36,1,274,2,0,9,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,kirewa,rewani,seg_Attended,kirewa_rewani,kirewa,single,AD_G1_LangA_female,11,97,F,Match,both
17,50,50,2,197,2,0,9,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,shavuko,herisha,seg_Unattended,shavuko_herisha,herisha,single,AD_G1_LangA_female,11,97,F,Match,both
18,61,61,1,395,2,0,9,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,biwetu,zafanu,seg_Unattended,biwetu_zafanu,biwetu,single,AD_G1_LangA_female,11,97,F,Match,both
19,43,43,2,345,2,0,9,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,zafanu,vukoza,seg_Unattended,zafanu_vukoza,vukoza,single,AD_G1_LangA_female,11,97,F,Match,both
20,29,29,1,265,1,1,10,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,hoshife,shifeni,seg_Attended,hoshife_shifeni,hoshife,single,AD_G1_LangA_female,11,97,F,Match,both
21,17,17,1,200,1,1,11,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,zutami,shifeni,seg_Attended,zutami_shifeni,zutami,single,AD_G1_LangA_female,11,97,F,Mismatch,both
22,33,33,2,328,1,1,12,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,luzuta,kirewa,seg_Attended,luzuta_kirewa,kirewa,single,AD_G1_LangA_female,11,97,F,Mismatch,both
23,24,24,1,311,2,0,12,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,bavolu,rewani,seg_Attended,bavolu_rewani,bavolu,single,AD_G1_LangA_female,11,97,F,Match,both
24,20,20,1,290,2,0,12,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,bavolu,mipeju,seg_Attended,bavolu_mipeju,bavolu,single,AD_G1_LangA_female,11,97,F,Match,both
25,72,72,1,366,1,1,13,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,xidule,dulepo,seg_Unattended,xidule_dulepo,xidule,single,AD_G1_LangA_female,11,97,F,Match,both
26,5,5,1,170,1,1,14,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,nisuda,shifeni,seg_Attended,nisuda_shifeni,nisuda,single,AD_G1_LangA_female,11,97,F,Match,both
27,8,8,1,1350,2,0,14,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,pejuxo,mipeju,seg_Attended,pejuxo_mipeju,pejuxo,single,AD_G1_LangA_female,11,97,F,Mismatch,both
28,70,70,1,271,1,1,15,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,xidule,masihe,seg_Unattended,xidule_masihe,xidule,single,AD_G1_LangA_female,11,97,F,Match,both
29,58,58,1,1915,1,1,16,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,pomasi,masihe,seg_Unattended,pomasi_masihe,pomasi,single,AD_G1_LangA_female,11,97,F,Match,both
30,15,15,1,239,1,1,17,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,zutami,luzuta,seg_Attended,zutami_luzuta,zutami,single,AD_G1_LangA_female,11,97,F,Mismatch,both
31,63,63,2,969,1,1,18,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,biwetu,tuheri,seg_Unattended,biwetu_tuheri,biwetu,single,AD_G1_LangA_female,11,97,F,Match,both
32,42,42,2,594,2,0,18,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,dulepo,fanujo,seg_Unattended,dulepo_fanujo,fanujo,single,AD_G1_LangA_female,11,97,F,Mismatch,both
33,22,22,1,1817,1,1,19,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,bavolu,voluho,seg_Attended,bavolu_voluho,bavolu,single,AD_G1_LangA_female,11,97,F,Match,both
34,44,44,1,785,2,0,19,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,M,vukoza,shavuko,seg_Unattended,vukoza_shavuko,vukoza,single,AD_G1_LangA_female,11,97,F,Mismatch,both
35,7,7,2,373,2,0,19,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,xonisu,pejuxo,seg_Attended,xonisu_pejuxo,pejuxo,single,AD_G1_LangA_female,11,97,F,Match,both
36,54,54,2,2939,2,0,19,6ab76dc8-749e-4446-9f78-db202ba71c21,AD_Group1_test,1,F,dulepo,herisha,seg_Unattended,dulepo_herisha,herisha,single,AD_G1_LangA_female,11,97,F,Match,both
